quarter,region,product,revenue_m,prior_year_revenue_m,reported_change_pct,currency_neutral_change_pct
Q4 2025,Europe,Footwear,1023,965,6,6
Q4 2025,Europe,Apparel,822,775,6,6
Q4 2025,Europe,Accessories,160,151,6,6
Q4 2025,Europe,Total,2005,1892,6,6
Q4 2025,North America,Footwear,635,605,5,5
Q4 2025,North America,Apparel,511,487,5,5
Q4 2025,North America,Accessories,100,95,5,5
Q4 2025,North America,Total,1246,1187,5,5
Q4 2025,Greater China,Footwear,456,397,17,15
Q4 2025,Greater China,Apparel,366,318,17,15
Q4 2025,Greater China,Accessories,71,62,17,15
Q4 2025,Greater China,Total,893,777,17,15
Q4 2025,Emerging Markets,Footwear,437,380,12,15
Q4 2025,Emerging Markets,Apparel,351,305,12,15
Q4 2025,Emerging Markets,Accessories,69,60,12,15
Q4 2025,Emerging Markets,Total,857,745,12,15
Q4 2025,Latin America,Footwear,366,310,24,18
Q4 2025,Latin America,Apparel,294,249,24,18
Q4 2025,Latin America,Accessories,57,48,24,18
Q4 2025,Latin America,Total,717,608,24,18
Q4 2025,Japan/South Korea,Footwear,183,162,8,13
Q4 2025,Japan/South Korea,Apparel,147,130,8,13
Q4 2025,Japan/South Korea,Accessories,29,26,8,13
Q4 2025,Japan/South Korea,Total,359,318,8,13
Q1 2026,Europe,Footwear,1173,1107,6,6
Q1 2026,Europe,Apparel,774,730,6,6
Q1 2026,Europe,Accessories,143,135,6,6
Q1 2026,Europe,Total,2090,1972,6,6
Q1 2026,North America,Footwear,673,601,12,12
Q1 2026,North America,Apparel,445,397,12,12
Q1 2026,North America,Accessories,82,73,12,12
Q1 2026,North America,Total,1200,1071,12,12
Q1 2026,Greater China,Footwear,637,544,20,17
Q1 2026,Greater China,Apparel,421,360,20,17
Q1 2026,Greater China,Accessories,77,66,20,17
Q1 2026,Greater China,Total,1135,970,20,17
Q1 2026,Emerging Markets,Footwear,488,444,10,10
Q1 2026,Emerging Markets,Apparel,322,293,10,10
Q1 2026,Emerging Markets,Accessories,59,54,10,10
Q1 2026,Emerging Markets,Total,869,790,10,10
Q1 2026,Latin America,Footwear,465,369,33,26
Q1 2026,Latin America,Apparel,308,244,33,26
Q1 2026,Latin America,Accessories,57,45,33,26
Q1 2026,Latin America,Total,830,659,33,26
Q1 2026,Japan/South Korea,Footwear,227,185,8,23
Q1 2026,Japan/South Korea,Apparel,150,122,8,23
Q1 2026,Japan/South Korea,Accessories,28,23,8,23
Q1 2026,Japan/South Korea,Total,405,329,8,23
Q2 2026,Europe,Footwear,1091,1029,6,6
Q2 2026,Europe,Apparel,851,803,6,6
Q2 2026,Europe,Accessories,166,157,6,6
Q2 2026,Europe,Total,2108,1989,6,6
Q2 2026,North America,Footwear,788,674,14,17
Q2 2026,North America,Apparel,614,525,14,17
Q2 2026,North America,Accessories,120,103,14,17
Q2 2026,North America,Total,1522,1301,14,17
Q2 2026,Greater China,Footwear,493,429,19,15
Q2 2026,Greater China,Apparel,385,335,19,15
Q2 2026,Greater China,Accessories,75,65,19,15
Q2 2026,Greater China,Total,953,829,19,15
Q2 2026,Emerging Markets,Footwear,439,392,11,12
Q2 2026,Emerging Markets,Apparel,342,305,11,12
Q2 2026,Emerging Markets,Accessories,67,60,11,12
Q2 2026,Emerging Markets,Total,848,757,11,12
Q2 2026,Latin America,Footwear,470,367,35,28
Q2 2026,Latin America,Apparel,366,286,35,28
Q2 2026,Latin America,Accessories,71,55,35,28
Q2 2026,Latin America,Total,907,709,35,28
Q2 2026,Japan/South Korea,Footwear,194,164,6,18
Q2 2026,Japan/South Korea,Apparel,152,129,6,18
Q2 2026,Japan/South Korea,Accessories,30,25,6,18
Q2 2026,Japan/South Korea,Total,376,319,6,18
