date,open,high,low,close,adj_close,volume,daily_return_pct
2025-08-01,176.77,178.23,174.59,178.11,178.11,861891,
2025-08-04,179.85,180.28,176.85,178.42,178.42,549999,0.17404974453987254
2025-08-05,179.23,180.28,178.38,178.91,178.91,536803,0.27463288868960767
2025-08-06,180.05,181.49,178.42,179.47,179.47,492927,0.31300653960091296
2025-08-07,176.92,180.76,175.67,179.01,179.01,441133,-0.2563102468379208
2025-08-08,179.9,181.14,178.33,178.79,178.79,749292,-0.12289816211384919
2025-08-11,180.06,180.16,177.51,179.51,179.51,728670,0.40270708652609954
2025-08-12,178.3,180.1,175.72,179.63,179.63,780833,0.06684864352961561
2025-08-13,179.28,179.92,178.81,179.85,179.85,400434,0.12247397428046813
2025-08-14,180.1,181.17,177.11,179.78,179.78,594754,-0.038921323324991874
2025-08-15,180.38,181.64,180.26,180.31,180.31,433175,0.29480476137502265
2025-08-18,180.92,182.3,178.46,181.27,181.27,835818,0.5324163939881332
2025-08-19,181.39,181.74,181.26,181.52,181.52,460446,0.1379158161858074
2025-08-20,181.84,183.05,181.65,182.14,182.14,386345,0.3415601586601813
2025-08-21,182.71,183.48,182.02,182.53,182.53,641918,0.21412100581970073
2025-08-22,184.22,184.49,178.01,182.46,182.46,827441,-0.03834986029693788
2025-08-25,180.19,185.29,179.0,183.27,183.27,849438,0.44393291680369096
2025-08-26,182.87,183.25,181.88,183.16,183.16,357657,-0.06002073443553968
2025-08-27,183.9,184.27,182.34,183.69,183.69,495536,0.2893644900633374
2025-08-28,184.26,185.52,183.4,183.9,183.9,392115,0.1143230442593568
2025-08-29,183.62,184.33,182.93,184.07,184.07,484719,0.09244154431755636
2025-09-01,182.4,186.55,181.13,184.51,184.51,620304,0.23903949584396234
2025-09-02,185.56,187.43,185.12,185.16,185.16,468343,0.35228442902823787
2025-09-03,187.41,189.16,184.95,185.34,185.34,340511,0.09721322099804919
2025-09-04,183.57,185.77,183.55,185.41,185.41,606017,0.03776842559619631
2025-09-05,186.55,187.06,185.05,185.52,185.52,331684,0.05932797583734217
2025-09-08,185.99,189.76,185.4,186.39,186.39,436017,0.46895213454074547
2025-09-09,186.67,188.36,183.96,186.74,186.74,300311,0.187778314287268
2025-09-10,185.85,187.52,184.92,187.11,187.11,352092,0.19813644639605776
2025-09-11,187.09,188.99,185.71,187.49,187.49,561789,0.20308909197797043
2025-09-12,190.03,191.03,186.45,188.47,188.47,810428,0.5226945437089903
2025-09-15,189.71,192.5,188.92,189.01,189.01,764774,0.28651774818273523
2025-09-16,191.13,192.78,188.94,189.05,189.05,359298,0.02116290143379107
2025-09-17,190.41,191.58,188.03,189.0,189.0,320903,-0.026448029621795044
2025-09-18,189.97,190.3,188.28,189.44,189.44,502852,0.23280423280422902
2025-09-19,192.15,194.41,188.18,190.06,190.06,691354,0.3272804054054168
2025-09-22,191.23,192.94,190.13,190.7,190.7,748039,0.3367357676523186
2025-09-23,191.63,191.98,189.82,190.64,190.64,793876,-0.03146303093864988
2025-09-24,190.22,193.12,190.15,190.57,190.57,505322,-0.036718422156944985
2025-09-25,191.11,193.42,190.64,191.03,191.03,400800,0.24138111979850052
2025-09-26,190.68,193.31,189.27,191.52,191.52,315808,0.2565042139978102
2025-09-29,193.58,194.17,191.37,192.39,192.39,388118,0.45426065162905704
2025-09-30,190.97,193.11,190.88,192.38,192.38,339097,-0.005197775352139278
2025-10-01,193.63,194.77,190.04,192.69,192.69,816480,0.1611394115812459
2025-10-02,192.73,193.3,189.99,192.96,192.96,461047,0.14012143858010973
2025-10-03,194.67,197.15,193.25,193.26,193.26,793874,0.15547263681590096
2025-10-06,195.15,195.87,193.94,194.25,194.25,631895,0.5122632722756926
2025-10-07,196.74,197.55,194.41,194.55,194.55,623365,0.1544401544401497
2025-10-08,195.9,197.68,194.98,195.02,195.02,572875,0.24158314058082553
