date,article_count,average_tone,article_count_7d_avg,average_tone_7d_avg
2025-09-01,46,1.0819,46.0,1.0819
2025-09-02,44,0.3616,45.0,0.7218
2025-09-03,42,0.2946,44.0,0.5794
2025-09-04,46,1.6875,44.5,0.8564
2025-09-05,42,0.505,44.0,0.7861
2025-09-06,49,1.0856,44.83,0.836
2025-09-07,46,0.3077,45.0,0.7606
2025-09-08,45,1.2777,44.86,0.7885
2025-09-09,34,0.5809,43.43,0.8199
2025-09-10,30,0.0768,41.71,0.7887
2025-09-11,30,0.7047,39.43,0.6483
2025-09-12,35,1.0041,38.43,0.7196
2025-09-13,46,0.7249,38.0,0.6681
2025-09-14,25,0.5098,35.0,0.697
2025-09-15,44,0.8972,34.86,0.6426
2025-09-16,33,0.539,34.71,0.6366
2025-09-17,37,0.337,35.71,0.6738
2025-09-18,53,0.3347,39.0,0.621
2025-09-19,44,1.3469,40.29,0.6699
2025-09-20,40,0.7466,39.43,0.673
2025-09-21,46,0.8495,42.43,0.7216
2025-09-22,35,0.8547,41.14,0.7155
2025-09-23,55,-0.1212,44.29,0.6212
2025-09-24,51,0.877,46.29,0.6983
2025-09-25,39,2.0042,44.29,0.9368
2025-09-26,51,0.0831,45.29,0.7563
2025-09-27,45,1.1477,46.0,0.8136
2025-09-28,43,1.2106,45.57,0.8652
2025-09-29,44,1.2007,46.86,0.9146
2025-09-30,56,0.3947,47.0,0.9883
2025-10-01,46,0.522,46.29,0.9376
2025-10-02,46,0.0879,47.29,0.6638
2025-10-03,40,0.6829,45.71,0.7495
2025-10-04,52,1.4884,46.71,0.7982
2025-10-05,34,0.3254,45.43,0.6717
2025-10-06,50,-0.3922,46.29,0.4442
2025-10-07,41,0.7463,44.14,0.4944
2025-10-08,55,1.2199,45.43,0.5941
2025-10-09,42,0.5869,44.86,0.6654
2025-10-10,43,1.7242,45.29,0.8141
2025-10-11,41,0.6302,43.71,0.6915
2025-10-12,48,0.7425,45.71,0.7511
2025-10-13,43,0.1493,44.71,0.8285
2025-10-14,45,0.5546,45.29,0.8011
2025-10-15,54,1.2158,45.14,0.8005
2025-10-16,45,1.2284,45.57,0.8921
2025-10-17,42,1.4624,45.43,0.8547
2025-10-18,45,1.185,46.0,0.934
2025-10-19,35,1.0472,44.14,0.9775
2025-10-20,32,-0.3777,42.57,0.9022
2025-10-21,43,0.3082,42.29,0.867
2025-10-22,46,2.1998,41.14,1.0076
2025-10-23,39,0.4836,40.29,0.9012
2025-10-24,47,1.159,41.0,0.8579
2025-10-25,44,0.7451,40.86,0.795
2025-10-26,51,1.1863,43.14,0.8149
2025-10-27,37,0.8328,43.86,0.9878
2025-10-28,46,0.2537,44.29,0.98
2025-10-29,48,0.378,44.57,0.7198
2025-10-30,54,1.0149,46.71,0.7957
2025-10-31,47,0.5514,46.71,0.7089
2025-11-01,45,-0.2857,46.86,0.5616
2025-11-02,37,1.1379,44.86,0.5547
2025-11-03,29,1.4355,43.71,0.6408
2025-11-04,32,1.3891,41.71,0.803
2025-11-05,40,1.4102,40.57,0.9505
2025-11-06,47,0.0287,39.57,0.8096
2025-11-07,56,1.8239,40.86,0.9914
2025-11-08,46,0.8029,41.0,1.1469
2025-11-09,45,0.3907,42.14,1.0401
2025-11-10,56,0.6587,46.0,0.9292
2025-11-11,47,0.5174,48.14,0.8046
2025-11-12,42,0.2358,48.43,0.6369
2025-11-13,57,0.9192,49.86,0.7641
2025-11-14,55,1.0291,49.71,0.6505
2025-11-15,42,0.8347,49.14,0.6551
2025-11-16,43,1.0452,48.86,0.7486
2025-11-17,45,0.8704,47.29,0.7788
2025-11-18,37,0.5763,45.86,0.7872
2025-11-19,61,0.668,48.57,0.849
